baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit,dynamic_hot_state_probability,state_policy
WaferStateFlow,0,0.0,O_analyst_15,S_task,R_31_16,replicate,replicate,836.8603945625001,851.9592564656251,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_15,S_market_context,R_31_16,replicate,replicate,836.8603945625001,851.9592564656251,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_15,S_role_instruction,R_31_16,replicate,replicate,836.8603945625001,851.9592564656251,0,0,True,0.0,static
WaferStateFlow,0,0.0,O_analyst_15,S_market_signal_15,R_31_16,inline,inline,0.0,162.47,1688,7346176,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_2,S_task,R_0_0,replicate,replicate,851.9592564656251,861.7735167026564,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_2,S_market_context,R_0_0,replicate,replicate,851.9592564656251,861.7735167026564,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_2,S_role_instruction,R_0_0,replicate,replicate,851.9592564656251,861.7735167026564,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_2,S_market_signal_2,R_0_0,inline,inline,0.0,168.63,1752,13455360,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_3,S_task,R_0_31,replicate,replicate,861.7735167026564,868.1527858567266,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_3,S_market_context,R_0_31,replicate,replicate,861.7735167026564,868.1527858567266,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_3,S_role_instruction,R_0_31,replicate,replicate,861.7735167026564,868.1527858567266,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_3,S_market_signal_3,R_0_31,inline,inline,0.0,164.01,1704,14395392,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_4,S_task,R_31_0,replicate,replicate,868.1527858567266,872.2993108068723,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_4,S_market_context,R_31_0,replicate,replicate,868.1527858567266,872.2993108068723,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_4,S_role_instruction,R_31_0,replicate,replicate,868.1527858567266,872.2993108068723,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_4,S_market_signal_4,R_31_0,inline,inline,0.0,150.15,1560,11581440,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_5,S_task,R_31_31,replicate,replicate,872.2993108068723,874.994552024467,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_5,S_market_context,R_31_31,replicate,replicate,872.2993108068723,874.994552024467,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_5,S_role_instruction,R_31_31,replicate,replicate,872.2993108068723,874.994552024467,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_5,S_market_signal_5,R_31_31,inline,inline,0.0,187.10999999999999,1944,15925248,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_6,S_task,R_16_16,replicate,replicate,874.994552024467,876.7464588159036,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_6,S_market_context,R_16_16,replicate,replicate,874.994552024467,876.7464588159036,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_6,S_role_instruction,R_16_16,replicate,replicate,874.994552024467,876.7464588159036,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_6,S_market_signal_6,R_16_16,inline,inline,0.0,110.88,1152,589824,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_7,S_task,R_0_16,replicate,replicate,876.7464588159036,877.8851982303373,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_7,S_market_context,R_0_16,replicate,replicate,876.7464588159036,877.8851982303373,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_7,S_role_instruction,R_0_16,replicate,replicate,876.7464588159036,877.8851982303373,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_7,S_market_signal_7,R_0_16,inline,inline,0.0,148.22500000000002,1540,7096320,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_8,S_task,R_16_0,replicate,replicate,877.8851982303373,878.6253788497193,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_8,S_market_context,R_16_0,replicate,replicate,877.8851982303373,878.6253788497193,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_8,S_role_instruction,R_16_0,replicate,replicate,877.8851982303373,878.6253788497193,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_8,S_market_signal_8,R_16_0,inline,inline,0.0,133.21,1384,4960256,False,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_9,S_task,R_31_16,replicate,replicate,878.6253788497193,879.1064962523176,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_9,S_market_context,R_31_16,replicate,replicate,878.6253788497193,879.1064962523176,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_9,S_role_instruction,R_31_16,replicate,replicate,878.6253788497193,879.1064962523176,0,0,True,0.0,static
WaferStateFlow,1,5.770012224079999,O_analyst_9,S_market_signal_9,R_31_16,inline,inline,0.0,128.97500000000002,1340,5831680,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_0,S_task,R_0_0,replicate,replicate,879.1064962523176,851.4192225640064,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_0,S_market_context,R_0_0,replicate,replicate,879.1064962523176,851.4192225640064,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_0,S_tool_schema,R_0_0,replicate,replicate,0.0,280.0,3200,0,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_0,S_market_signal_0,R_0_0,inline,inline,171.32500000000002,267.11125000000004,1780,13670400,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_1,S_task,R_0_31,replicate,replicate,851.4192225640064,833.4224946666042,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_1,S_market_context,R_0_31,replicate,replicate,851.4192225640064,833.4224946666042,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_1,S_tool_schema,R_0_31,replicate,replicate,280.0,462.0,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_1,S_market_signal_1,R_0_31,inline,inline,157.465,245.50225,1636,13820928,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_10,S_task,R_31_0,replicate,replicate,833.4224946666042,821.7246215332927,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_10,S_market_context,R_31_0,replicate,replicate,833.4224946666042,821.7246215332927,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_10,S_tool_schema,R_31_0,replicate,replicate,462.0,580.3,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_10,S_market_signal_10,R_31_0,inline,inline,177.10000000000002,276.115,1840,13660160,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_11,S_task,R_31_31,replicate,replicate,821.7246215332927,814.1210039966403,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_11,S_market_context,R_31_31,replicate,replicate,821.7246215332927,814.1210039966403,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_11,S_tool_schema,R_31_31,replicate,replicate,580.3,657.1949999999999,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_11,S_market_signal_11,R_31_31,inline,inline,139.755,217.89075,1452,11894784,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_12,S_task,R_16_16,replicate,replicate,814.1210039966403,809.1786525978163,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_12,S_market_context,R_16_16,replicate,replicate,814.1210039966403,809.1786525978163,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_12,S_tool_schema,R_16_16,replicate,replicate,657.1949999999999,707.17675,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_12,S_market_signal_12,R_16_16,inline,inline,157.07999999999998,244.902,1632,835584,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_13,S_task,R_0_16,replicate,replicate,809.1786525978163,805.9661241885806,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_13,S_market_context,R_0_16,replicate,replicate,809.1786525978163,805.9661241885806,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_13,S_tool_schema,R_0_16,replicate,replicate,707.17675,739.6648875000001,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_13,S_market_signal_13,R_0_16,inline,inline,149.76500000000001,233.49725,1556,7170048,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_14,S_task,R_16_0,replicate,replicate,805.9661241885806,803.8779807225774,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_14,S_market_context,R_16_0,replicate,replicate,805.9661241885806,803.8779807225774,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_14,S_tool_schema,R_16_0,replicate,replicate,739.6648875000001,760.782176875,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_14,S_market_signal_14,R_16_0,inline,inline,165.165,257.50725,1716,6150144,False,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_15,S_task,R_31_16,replicate,replicate,803.8779807225774,802.5206874696753,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_15,S_market_context,R_31_16,replicate,replicate,803.8779807225774,802.5206874696753,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_15,S_tool_schema,R_31_16,replicate,replicate,760.782176875,774.50841496875,0,0,True,0.0,static
WaferStateFlow,2,11.592024392479999,O_researcher_15,S_market_signal_15,R_31_16,inline,inline,162.47,253.3055,1688,7346176,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_2,S_task,R_0_0,replicate,replicate,802.5206874696753,801.638446855289,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_2,S_market_context,R_0_0,replicate,replicate,802.5206874696753,801.638446855289,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_2,S_tool_schema,R_0_0,replicate,replicate,774.50841496875,783.4304697296875,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_2,S_market_signal_2,R_0_0,inline,inline,168.63,262.9095,1752,13455360,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_3,S_task,R_0_31,replicate,replicate,801.638446855289,801.0649904559378,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_3,S_market_context,R_0_31,replicate,replicate,801.638446855289,801.0649904559378,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_3,S_tool_schema,R_0_31,replicate,replicate,783.4304697296875,789.2298053242969,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_3,S_market_signal_3,R_0_31,inline,inline,164.01,255.7065,1704,14395392,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_4,S_task,R_31_0,replicate,replicate,801.0649904559378,800.6922437963597,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_4,S_market_context,R_31_0,replicate,replicate,801.0649904559378,800.6922437963597,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_4,S_tool_schema,R_31_0,replicate,replicate,789.2298053242969,792.999373460793,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_4,S_market_signal_4,R_31_0,inline,inline,150.15,234.09750000000003,1560,11581440,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_5,S_task,R_31_31,replicate,replicate,800.6922437963597,800.4499584676338,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_5,S_market_context,R_31_31,replicate,replicate,800.6922437963597,800.4499584676338,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_5,S_tool_schema,R_31_31,replicate,replicate,792.999373460793,795.4495927495154,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_5,S_market_signal_5,R_31_31,inline,inline,187.10999999999999,291.7215,1944,15925248,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_6,S_task,R_16_16,replicate,replicate,800.4499584676338,800.292473003962,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_6,S_market_context,R_16_16,replicate,replicate,800.4499584676338,800.292473003962,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_6,S_tool_schema,R_16_16,replicate,replicate,795.4495927495154,797.042235287185,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_6,S_market_signal_6,R_16_16,inline,inline,110.88,172.872,1152,589824,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_7,S_task,R_0_16,replicate,replicate,800.292473003962,800.1901074525753,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_7,S_market_context,R_0_16,replicate,replicate,800.292473003962,800.1901074525753,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_7,S_tool_schema,R_0_16,replicate,replicate,797.042235287185,798.0774529366703,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_7,S_market_signal_7,R_0_16,inline,inline,148.22500000000002,231.09625,1540,7096320,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_8,S_task,R_16_0,replicate,replicate,800.1901074525753,800.123569844174,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_8,S_market_context,R_16_0,replicate,replicate,800.1901074525753,800.123569844174,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_8,S_tool_schema,R_16_0,replicate,replicate,798.0774529366703,798.7503444088358,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_8,S_market_signal_8,R_16_0,inline,inline,133.21,207.68650000000002,1384,4960256,False,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_9,S_task,R_31_16,replicate,replicate,800.123569844174,800.0803203987131,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_9,S_market_context,R_31_16,replicate,replicate,800.123569844174,800.0803203987131,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_9,S_tool_schema,R_31_16,replicate,replicate,798.7503444088358,799.1877238657432,0,0,True,0.0,static
WaferStateFlow,3,17.362036616559998,O_researcher_9,S_market_signal_9,R_31_16,inline,inline,128.97500000000002,201.08375,1340,5831680,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_0,S_task,R_0_0,replicate,replicate,800.0803203987131,940.0522082591635,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_0,S_market_context,R_0_0,replicate,replicate,800.0803203987131,940.0522082591635,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_0,S_analyst_0_view,R_0_0,inline,inline,0.0,109.19999999999999,832,6389760,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_0,S_research_0_evidence,R_0_0,inline,inline,0.0,114.975,876,6727680,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_1,S_task,R_0_31,replicate,replicate,940.0522082591635,1031.0339353684562,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_1,S_market_context,R_0_31,replicate,replicate,940.0522082591635,1031.0339353684562,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_1,S_analyst_1_view,R_0_31,inline,inline,0.0,118.12499999999999,900,7603200,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_1,S_research_1_evidence,R_0_31,inline,inline,0.0,130.725,996,8414208,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_10,S_task,R_31_0,replicate,replicate,1031.0339353684562,1090.1720579894966,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_10,S_market_context,R_31_0,replicate,replicate,1031.0339353684562,1090.1720579894966,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_10,S_analyst_10_view,R_31_0,inline,inline,0.0,124.425,948,7037952,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_10,S_research_10_evidence,R_31_0,inline,inline,0.0,165.89999999999998,1264,9383936,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_11,S_task,R_31_31,replicate,replicate,1090.1720579894966,1128.6118376931727,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_11,S_market_context,R_31_31,replicate,replicate,1090.1720579894966,1128.6118376931727,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_11,S_analyst_11_view,R_31_31,inline,inline,0.0,137.54999999999998,1048,8585216,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_11,S_research_11_evidence,R_31_31,inline,inline,0.0,121.27499999999999,924,7569408,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_12,S_task,R_16_16,replicate,replicate,1128.6118376931727,1153.5976945005623,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_12,S_market_context,R_16_16,replicate,replicate,1128.6118376931727,1153.5976945005623,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_12,S_analyst_12_view,R_16_16,inline,inline,0.0,124.425,948,485376,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_12,S_research_12_evidence,R_16_16,inline,inline,0.0,150.67499999999998,1148,587776,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_13,S_task,R_0_16,replicate,replicate,1153.5976945005623,1169.8385014253654,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_13,S_market_context,R_0_16,replicate,replicate,1153.5976945005623,1169.8385014253654,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_13,S_analyst_13_view,R_0_16,inline,inline,0.0,114.975,876,4036608,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_13,S_research_13_evidence,R_0_16,inline,inline,0.0,118.12499999999999,900,4147200,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_14,S_task,R_16_0,replicate,replicate,1169.8385014253654,1180.3950259264875,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_14,S_market_context,R_16_0,replicate,replicate,1169.8385014253654,1180.3950259264875,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_14,S_analyst_14_view,R_16_0,inline,inline,0.0,128.625,980,3512320,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_14,S_research_14_evidence,R_16_0,inline,inline,0.0,142.79999999999998,1088,3899392,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_15,S_task,R_31_16,replicate,replicate,1180.3950259264875,1187.256766852217,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_15,S_market_context,R_31_16,replicate,replicate,1180.3950259264875,1187.256766852217,0,0,True,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_15,S_analyst_15_view,R_31_16,inline,inline,0.0,122.32499999999999,932,4056064,False,0.0,static
WaferStateFlow,4,23.184048784959998,O_trader_15,S_research_15_evidence,R_31_16,inline,inline,0.0,119.175,908,3951616,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_2,S_task,R_0_0,replicate,replicate,1187.256766852217,1191.7168984539412,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_2,S_market_context,R_0_0,replicate,replicate,1187.256766852217,1191.7168984539412,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_2,S_analyst_2_view,R_0_0,inline,inline,0.0,99.225,756,5806080,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_2,S_research_2_evidence,R_0_0,inline,inline,0.0,150.14999999999998,1144,8785920,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_3,S_task,R_0_31,replicate,replicate,1191.7168984539412,1194.615983995062,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_3,S_market_context,R_0_31,replicate,replicate,1191.7168984539412,1194.615983995062,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_3,S_analyst_3_view,R_0_31,inline,inline,0.0,148.575,1132,9563136,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_3,S_research_3_evidence,R_0_31,inline,inline,0.0,127.05,968,8177664,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_4,S_task,R_31_0,replicate,replicate,1194.615983995062,1196.5003895967902,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_4,S_market_context,R_31_0,replicate,replicate,1194.615983995062,1196.5003895967902,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_4,S_analyst_4_view,R_31_0,inline,inline,0.0,115.49999999999999,880,6533120,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_4,S_research_4_evidence,R_31_0,inline,inline,0.0,149.1,1136,8433664,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_5,S_task,R_31_31,replicate,replicate,1196.5003895967902,1197.7252532379136,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_5,S_market_context,R_31_31,replicate,replicate,1196.5003895967902,1197.7252532379136,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_5,S_analyst_5_view,R_31_31,inline,inline,0.0,120.225,916,7503872,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_5,S_research_5_evidence,R_31_31,inline,inline,0.0,125.99999999999999,960,7864320,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_6,S_task,R_16_16,replicate,replicate,1197.7252532379136,1198.521414604644,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_6,S_market_context,R_16_16,replicate,replicate,1197.7252532379136,1198.521414604644,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_6,S_analyst_6_view,R_16_16,inline,inline,0.0,129.15,984,503808,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_6,S_research_6_evidence,R_16_16,inline,inline,0.0,125.475,956,489472,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_7,S_task,R_0_16,replicate,replicate,1198.521414604644,1199.0389194930185,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_7,S_market_context,R_0_16,replicate,replicate,1198.521414604644,1199.0389194930185,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_7,S_analyst_7_view,R_0_16,inline,inline,0.0,110.77499999999999,844,3889152,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_7,S_research_7_evidence,R_0_16,inline,inline,0.0,138.075,1052,4847616,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_8,S_task,R_16_0,replicate,replicate,1199.0389194930185,1199.375297670462,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_8,S_market_context,R_16_0,replicate,replicate,1199.0389194930185,1199.375297670462,0,0,True,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_8,S_analyst_8_view,R_16_0,inline,inline,0.0,116.02499999999999,884,3168256,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_8,S_research_8_evidence,R_16_0,inline,inline,0.0,132.29999999999998,1008,3612672,False,0.0,static
WaferStateFlow,5,27.540061933999997,O_trader_9,S_task,R_31_16,replicate,replicate,1199.375297670462,1199.5939434858003,0,0,True,0.0,static
