op_id,kind,role,input_states,output_states,deps,estimated_input_tokens,estimated_output_tokens,phase_profile,deterministic,criticality,ready_time,metadata
O_trader_3,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_3_view"", ""S_research_3_evidence""]","[""S_trade_3""]",[],2125,0,prefill_heavy,False,1.5,0,{}
O_risk_3,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_3""]","[""S_risk_3""]",[],2662,0,prefill_heavy,False,1.7,0,{}
O_analyst_4,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_4""]","[""S_analyst_4_view""]",[],2790,0,prefill_heavy,False,1.1,0,{}
O_researcher_4,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_4""]","[""S_research_4_evidence""]",[],2790,0,prefill_heavy,False,1.0,0,{}
O_trader_4,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_4_view"", ""S_research_4_evidence""]","[""S_trade_4""]",[],2104,0,prefill_heavy,False,1.5,0,{}
O_risk_4,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_4""]","[""S_risk_4""]",[],2650,0,prefill_heavy,False,1.7,0,{}
O_analyst_5,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_5""]","[""S_analyst_5_view""]",[],2886,0,prefill_heavy,False,1.1,0,{}
O_researcher_5,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_5""]","[""S_research_5_evidence""]",[],2886,0,prefill_heavy,False,1.0,0,{}
O_trader_5,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_5_view"", ""S_research_5_evidence""]","[""S_trade_5""]",[],2069,0,prefill_heavy,False,1.5,0,{}
O_risk_5,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_5""]","[""S_risk_5""]",[],2638,0,prefill_heavy,False,1.7,0,{}
O_analyst_6,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_6""]","[""S_analyst_6_view""]",[],2688,0,prefill_heavy,False,1.1,0,{}
O_researcher_6,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_6""]","[""S_research_6_evidence""]",[],2688,0,prefill_heavy,False,1.0,0,{}
O_trader_6,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_6_view"", ""S_research_6_evidence""]","[""S_trade_6""]",[],2085,0,prefill_heavy,False,1.5,0,{}
O_risk_6,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_6""]","[""S_risk_6""]",[],2613,0,prefill_heavy,False,1.7,0,{}
O_analyst_7,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_7""]","[""S_analyst_7_view""]",[],2785,0,prefill_heavy,False,1.1,0,{}
O_researcher_7,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_7""]","[""S_research_7_evidence""]",[],2785,0,prefill_heavy,False,1.0,0,{}
O_trader_7,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_7_view"", ""S_research_7_evidence""]","[""S_trade_7""]",[],2074,0,prefill_heavy,False,1.5,0,{}
O_risk_7,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_7""]","[""S_risk_7""]",[],2645,0,prefill_heavy,False,1.7,0,{}
O_analyst_8,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_8""]","[""S_analyst_8_view""]",[],2746,0,prefill_heavy,False,1.1,0,{}
O_researcher_8,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_8""]","[""S_research_8_evidence""]",[],2746,0,prefill_heavy,False,1.0,0,{}
O_trader_8,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_8_view"", ""S_research_8_evidence""]","[""S_trade_8""]",[],2073,0,prefill_heavy,False,1.5,0,{}
O_risk_8,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_8""]","[""S_risk_8""]",[],2588,0,prefill_heavy,False,1.7,0,{}
O_analyst_9,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_9""]","[""S_analyst_9_view""]",[],2735,0,prefill_heavy,False,1.1,0,{}
O_researcher_9,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_9""]","[""S_research_9_evidence""]",[],2735,0,prefill_heavy,False,1.0,0,{}
O_trader_9,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_9_view"", ""S_research_9_evidence""]","[""S_trade_9""]",[],2092,0,prefill_heavy,False,1.5,0,{}
O_risk_9,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_9""]","[""S_risk_9""]",[],2687,0,prefill_heavy,False,1.7,0,{}
O_analyst_10,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_10""]","[""S_analyst_10_view""]",[],2860,0,prefill_heavy,False,1.1,0,{}
O_researcher_10,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_10""]","[""S_research_10_evidence""]",[],2860,0,prefill_heavy,False,1.0,0,{}
O_trader_10,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_10_view"", ""S_research_10_evidence""]","[""S_trade_10""]",[],2153,0,prefill_heavy,False,1.5,0,{}
O_risk_10,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_10""]","[""S_risk_10""]",[],2648,0,prefill_heavy,False,1.7,0,{}
O_analyst_11,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_11""]","[""S_analyst_11_view""]",[],2763,0,prefill_heavy,False,1.1,0,{}
O_researcher_11,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_11""]","[""S_research_11_evidence""]",[],2763,0,prefill_heavy,False,1.0,0,{}
O_trader_11,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_11_view"", ""S_research_11_evidence""]","[""S_trade_11""]",[],2093,0,prefill_heavy,False,1.5,0,{}
O_risk_11,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_11""]","[""S_risk_11""]",[],2659,0,prefill_heavy,False,1.7,0,{}
O_analyst_12,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_12""]","[""S_analyst_12_view""]",[],2808,0,prefill_heavy,False,1.1,0,{}
O_researcher_12,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_12""]","[""S_research_12_evidence""]",[],2808,0,prefill_heavy,False,1.0,0,{}
O_trader_12,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_12_view"", ""S_research_12_evidence""]","[""S_trade_12""]",[],2124,0,prefill_heavy,False,1.5,0,{}
O_risk_12,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_12""]","[""S_risk_12""]",[],2660,0,prefill_heavy,False,1.7,0,{}
O_analyst_13,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_13""]","[""S_analyst_13_view""]",[],2789,0,prefill_heavy,False,1.1,0,{}
O_researcher_13,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_13""]","[""S_research_13_evidence""]",[],2789,0,prefill_heavy,False,1.0,0,{}
O_trader_13,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_13_view"", ""S_research_13_evidence""]","[""S_trade_13""]",[],2044,0,prefill_heavy,False,1.5,0,{}
O_risk_13,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_13""]","[""S_risk_13""]",[],2658,0,prefill_heavy,False,1.7,0,{}
O_analyst_14,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_14""]","[""S_analyst_14_view""]",[],2829,0,prefill_heavy,False,1.1,0,{}
O_researcher_14,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_14""]","[""S_research_14_evidence""]",[],2829,0,prefill_heavy,False,1.0,0,{}
O_trader_14,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_14_view"", ""S_research_14_evidence""]","[""S_trade_14""]",[],2117,0,prefill_heavy,False,1.5,0,{}
O_risk_14,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_14""]","[""S_risk_14""]",[],2583,0,prefill_heavy,False,1.7,0,{}
O_analyst_15,llm,analyst,"[""S_task"", ""S_market_context"", ""S_role_instruction"", ""S_market_signal_15""]","[""S_analyst_15_view""]",[],2822,0,prefill_heavy,False,1.1,0,{}
O_researcher_15,llm,researcher,"[""S_task"", ""S_market_context"", ""S_tool_schema"", ""S_market_signal_15""]","[""S_research_15_evidence""]",[],2822,0,prefill_heavy,False,1.0,0,{}
O_trader_15,llm,trader,"[""S_task"", ""S_market_context"", ""S_analyst_15_view"", ""S_research_15_evidence""]","[""S_trade_15""]",[],2060,0,prefill_heavy,False,1.5,0,{}
O_risk_15,llm,risk,"[""S_task"", ""S_risk_policy"", ""S_market_context"", ""S_trade_15""]","[""S_risk_15""]",[],2663,0,prefill_heavy,False,1.7,0,{}
O_manager,llm,manager,"[""S_task"", ""S_market_context"", ""S_risk_policy"", ""S_trade_0"", ""S_risk_0"", ""S_trade_1"", ""S_risk_1"", ""S_trade_2"", ""S_risk_2"", ""S_trade_3"", ""S_risk_3"", ""S_trade_4"", ""S_risk_4"", ""S_trade_5"", ""S_risk_5"", ""S_trade_6"", ""S_risk_6"", ""S_trade_7"", ""S_risk_7"", ""S_trade_8"", ""S_risk_8"", ""S_trade_9"", ""S_risk_9"", ""S_trade_10"", ""S_risk_10"", ""S_trade_11"", ""S_risk_11"", ""S_trade_12"", ""S_risk_12"", ""S_trade_13"", ""S_risk_13"", ""S_trade_14"", ""S_risk_14"", ""S_trade_15"", ""S_risk_15""]","[""S_portfolio_decision""]",[],10299,0,prefill_heavy,False,2.4,0,{}
