src,dst,edge_type,token_size,metadata
S_task,O_risk_10,consume,800,{}
S_risk_policy,O_risk_10,consume,800,{}
S_market_context,O_risk_10,consume,800,{}
S_trade_10,O_risk_10,consume,248,{}
O_risk_10,S_risk_10,produce,223,{}
S_task,O_analyst_11,consume,800,{}
S_market_context,O_analyst_11,consume,800,{}
S_role_instruction,O_analyst_11,consume,800,{}
S_market_signal_11,O_analyst_11,consume,363,{}
S_task,O_researcher_11,consume,800,{}
S_market_context,O_researcher_11,consume,800,{}
S_tool_schema,O_researcher_11,consume,800,{}
S_market_signal_11,O_researcher_11,consume,363,{}
O_analyst_11,S_analyst_11_view,produce,262,{}
O_researcher_11,S_research_11_evidence,produce,231,{}
S_task,O_trader_11,consume,800,{}
S_market_context,O_trader_11,consume,800,{}
S_analyst_11_view,O_trader_11,consume,262,{}
S_research_11_evidence,O_trader_11,consume,231,{}
O_trader_11,S_trade_11,produce,259,{}
S_task,O_risk_11,consume,800,{}
S_risk_policy,O_risk_11,consume,800,{}
S_market_context,O_risk_11,consume,800,{}
S_trade_11,O_risk_11,consume,259,{}
O_risk_11,S_risk_11,produce,302,{}
S_task,O_analyst_12,consume,800,{}
S_market_context,O_analyst_12,consume,800,{}
S_role_instruction,O_analyst_12,consume,800,{}
S_market_signal_12,O_analyst_12,consume,408,{}
S_task,O_researcher_12,consume,800,{}
S_market_context,O_researcher_12,consume,800,{}
S_tool_schema,O_researcher_12,consume,800,{}
S_market_signal_12,O_researcher_12,consume,408,{}
O_analyst_12,S_analyst_12_view,produce,237,{}
O_researcher_12,S_research_12_evidence,produce,287,{}
S_task,O_trader_12,consume,800,{}
S_market_context,O_trader_12,consume,800,{}
S_analyst_12_view,O_trader_12,consume,237,{}
S_research_12_evidence,O_trader_12,consume,287,{}
O_trader_12,S_trade_12,produce,260,{}
S_task,O_risk_12,consume,800,{}
S_risk_policy,O_risk_12,consume,800,{}
S_market_context,O_risk_12,consume,800,{}
S_trade_12,O_risk_12,consume,260,{}
O_risk_12,S_risk_12,produce,247,{}
S_task,O_analyst_13,consume,800,{}
S_market_context,O_analyst_13,consume,800,{}
S_role_instruction,O_analyst_13,consume,800,{}
S_market_signal_13,O_analyst_13,consume,389,{}
S_task,O_researcher_13,consume,800,{}
S_market_context,O_researcher_13,consume,800,{}
S_tool_schema,O_researcher_13,consume,800,{}
S_market_signal_13,O_researcher_13,consume,389,{}
O_analyst_13,S_analyst_13_view,produce,219,{}
O_researcher_13,S_research_13_evidence,produce,225,{}
S_task,O_trader_13,consume,800,{}
S_market_context,O_trader_13,consume,800,{}
S_analyst_13_view,O_trader_13,consume,219,{}
S_research_13_evidence,O_trader_13,consume,225,{}
O_trader_13,S_trade_13,produce,258,{}
S_task,O_risk_13,consume,800,{}
S_risk_policy,O_risk_13,consume,800,{}
S_market_context,O_risk_13,consume,800,{}
S_trade_13,O_risk_13,consume,258,{}
O_risk_13,S_risk_13,produce,249,{}
S_task,O_analyst_14,consume,800,{}
S_market_context,O_analyst_14,consume,800,{}
S_role_instruction,O_analyst_14,consume,800,{}
S_market_signal_14,O_analyst_14,consume,429,{}
S_task,O_researcher_14,consume,800,{}
S_market_context,O_researcher_14,consume,800,{}
S_tool_schema,O_researcher_14,consume,800,{}
S_market_signal_14,O_researcher_14,consume,429,{}
O_analyst_14,S_analyst_14_view,produce,245,{}
O_researcher_14,S_research_14_evidence,produce,272,{}
S_task,O_trader_14,consume,800,{}
S_market_context,O_trader_14,consume,800,{}
S_analyst_14_view,O_trader_14,consume,245,{}
S_research_14_evidence,O_trader_14,consume,272,{}
O_trader_14,S_trade_14,produce,183,{}
S_task,O_risk_14,consume,800,{}
S_risk_policy,O_risk_14,consume,800,{}
S_market_context,O_risk_14,consume,800,{}
S_trade_14,O_risk_14,consume,183,{}
O_risk_14,S_risk_14,produce,268,{}
S_task,O_analyst_15,consume,800,{}
S_market_context,O_analyst_15,consume,800,{}
S_role_instruction,O_analyst_15,consume,800,{}
S_market_signal_15,O_analyst_15,consume,422,{}
S_task,O_researcher_15,consume,800,{}
S_market_context,O_researcher_15,consume,800,{}
S_tool_schema,O_researcher_15,consume,800,{}
S_market_signal_15,O_researcher_15,consume,422,{}
O_analyst_15,S_analyst_15_view,produce,233,{}
O_researcher_15,S_research_15_evidence,produce,227,{}
S_task,O_trader_15,consume,800,{}
S_market_context,O_trader_15,consume,800,{}
S_analyst_15_view,O_trader_15,consume,233,{}
S_research_15_evidence,O_trader_15,consume,227,{}
O_trader_15,S_trade_15,produce,263,{}
S_task,O_risk_15,consume,800,{}
S_risk_policy,O_risk_15,consume,800,{}
S_market_context,O_risk_15,consume,800,{}
S_trade_15,O_risk_15,consume,263,{}
O_risk_15,S_risk_15,produce,253,{}
S_task,O_manager,consume,800,{}
S_market_context,O_manager,consume,800,{}
S_risk_policy,O_manager,consume,800,{}
S_trade_0,O_manager,consume,247,{}
S_risk_0,O_manager,consume,210,{}
S_trade_1,O_manager,consume,249,{}
S_risk_1,O_manager,consume,315,{}
S_trade_2,O_manager,consume,222,{}
S_risk_2,O_manager,consume,212,{}
S_trade_3,O_manager,consume,262,{}
S_risk_3,O_manager,consume,214,{}
S_trade_4,O_manager,consume,250,{}
S_risk_4,O_manager,consume,222,{}
S_trade_5,O_manager,consume,238,{}
S_risk_5,O_manager,consume,253,{}
S_trade_6,O_manager,consume,213,{}
S_risk_6,O_manager,consume,289,{}
S_trade_7,O_manager,consume,245,{}
S_risk_7,O_manager,consume,268,{}
S_trade_8,O_manager,consume,188,{}
S_risk_8,O_manager,consume,304,{}
S_trade_9,O_manager,consume,287,{}
S_risk_9,O_manager,consume,198,{}
S_trade_10,O_manager,consume,248,{}
S_risk_10,O_manager,consume,223,{}
S_trade_11,O_manager,consume,259,{}
S_risk_11,O_manager,consume,302,{}
S_trade_12,O_manager,consume,260,{}
S_risk_12,O_manager,consume,247,{}
S_trade_13,O_manager,consume,258,{}
S_risk_13,O_manager,consume,249,{}
S_trade_14,O_manager,consume,183,{}
S_risk_14,O_manager,consume,268,{}
S_trade_15,O_manager,consume,263,{}
S_risk_15,O_manager,consume,253,{}
O_manager,S_portfolio_decision,produce,219,{}
