state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,static_hotness,dynamic_hotness,deterministic,metadata
S_market_signal_1,retrieval,409,418816,,"[""O_analyst_1"", ""O_researcher_1""]",0,17,inline,,429.45000000000005,0.0,True,{}
S_analyst_1_view,intermediate_summary,225,230400,O_analyst_1,"[""O_trader_1""]",1,33,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_1_evidence,retrieval_result,249,254976,O_researcher_1,"[""O_trader_1""]",17,33,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_1,planner_output,249,254976,O_trader_1,"[""O_risk_1"", ""O_manager""]",33,64,output,,510.44999999999993,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_1,critic_feedback,315,322560,O_risk_1,"[""O_manager""]",49,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_2,retrieval,438,448512,,"[""O_analyst_2"", ""O_researcher_2""]",0,24,inline,,459.90000000000003,0.0,True,{}
S_analyst_2_view,intermediate_summary,189,193536,O_analyst_2,"[""O_trader_2""]",8,40,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_2_evidence,retrieval_result,286,292864,O_researcher_2,"[""O_trader_2""]",24,40,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_2,planner_output,222,227328,O_trader_2,"[""O_risk_2"", ""O_manager""]",40,64,output,,455.09999999999997,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_2,critic_feedback,212,217088,O_risk_2,"[""O_manager""]",56,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_3,retrieval,426,436224,,"[""O_analyst_3"", ""O_researcher_3""]",0,25,inline,,447.3,0.0,True,{}
S_analyst_3_view,intermediate_summary,283,289792,O_analyst_3,"[""O_trader_3""]",9,41,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_3_evidence,retrieval_result,242,247808,O_researcher_3,"[""O_trader_3""]",25,41,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_3,planner_output,262,268288,O_trader_3,"[""O_risk_3"", ""O_manager""]",41,64,output,,537.0999999999999,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_3,critic_feedback,214,219136,O_risk_3,"[""O_manager""]",57,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_4,retrieval,390,399360,,"[""O_analyst_4"", ""O_researcher_4""]",0,26,inline,,409.5,0.0,True,{}
S_analyst_4_view,intermediate_summary,220,225280,O_analyst_4,"[""O_trader_4""]",10,42,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_4_evidence,retrieval_result,284,290816,O_researcher_4,"[""O_trader_4""]",26,42,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_4,planner_output,250,256000,O_trader_4,"[""O_risk_4"", ""O_manager""]",42,64,output,,512.5,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_4,critic_feedback,222,227328,O_risk_4,"[""O_manager""]",58,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_5,retrieval,486,497664,,"[""O_analyst_5"", ""O_researcher_5""]",0,27,inline,,510.3,0.0,True,{}
S_analyst_5_view,intermediate_summary,229,234496,O_analyst_5,"[""O_trader_5""]",11,43,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_research_5_evidence,retrieval_result,240,245760,O_researcher_5,"[""O_trader_5""]",27,43,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_5,planner_output,238,243712,O_trader_5,"[""O_risk_5"", ""O_manager""]",43,64,output,,487.9,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_5,critic_feedback,253,259072,O_risk_5,"[""O_manager""]",59,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_6,retrieval,288,294912,,"[""O_analyst_6"", ""O_researcher_6""]",0,28,inline,,302.40000000000003,0.0,True,{}
S_analyst_6_view,intermediate_summary,246,251904,O_analyst_6,"[""O_trader_6""]",12,44,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_research_6_evidence,retrieval_result,239,244736,O_researcher_6,"[""O_trader_6""]",28,44,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_6,planner_output,213,218112,O_trader_6,"[""O_risk_6"", ""O_manager""]",44,64,output,,436.65,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_6,critic_feedback,289,295936,O_risk_6,"[""O_manager""]",60,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_7,retrieval,385,394240,,"[""O_analyst_7"", ""O_researcher_7""]",0,29,inline,,404.25,0.0,True,{}
S_analyst_7_view,intermediate_summary,211,216064,O_analyst_7,"[""O_trader_7""]",13,45,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_7_evidence,retrieval_result,263,269312,O_researcher_7,"[""O_trader_7""]",29,45,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_7,planner_output,245,250880,O_trader_7,"[""O_risk_7"", ""O_manager""]",45,64,output,,502.24999999999994,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_7,critic_feedback,268,274432,O_risk_7,"[""O_manager""]",61,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_8,retrieval,346,354304,,"[""O_analyst_8"", ""O_researcher_8""]",0,30,inline,,363.3,0.0,True,{}
S_analyst_8_view,intermediate_summary,221,226304,O_analyst_8,"[""O_trader_8""]",14,46,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_8_evidence,retrieval_result,252,258048,O_researcher_8,"[""O_trader_8""]",30,46,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_trade_8,planner_output,188,192512,O_trader_8,"[""O_risk_8"", ""O_manager""]",46,64,output,,385.4,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_8,critic_feedback,304,311296,O_risk_8,"[""O_manager""]",62,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_9,retrieval,335,343040,,"[""O_analyst_9"", ""O_researcher_9""]",0,31,inline,,351.75,0.0,True,{}
S_analyst_9_view,intermediate_summary,213,218112,O_analyst_9,"[""O_trader_9""]",15,47,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_9_evidence,retrieval_result,279,285696,O_researcher_9,"[""O_trader_9""]",31,47,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_9,planner_output,287,293888,O_trader_9,"[""O_risk_9"", ""O_manager""]",47,64,output,,588.3499999999999,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_9,critic_feedback,198,202752,O_risk_9,"[""O_manager""]",63,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_10,retrieval,460,471040,,"[""O_analyst_10"", ""O_researcher_10""]",0,18,inline,,483.0,0.0,True,{}
S_analyst_10_view,intermediate_summary,237,242688,O_analyst_10,"[""O_trader_10""]",2,34,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_10_evidence,retrieval_result,316,323584,O_researcher_10,"[""O_trader_10""]",18,34,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_10,planner_output,248,253952,O_trader_10,"[""O_risk_10"", ""O_manager""]",34,64,output,,508.4,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_10,critic_feedback,223,228352,O_risk_10,"[""O_manager""]",50,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_11,retrieval,363,371712,,"[""O_analyst_11"", ""O_researcher_11""]",0,19,inline,,381.15000000000003,0.0,True,{}
S_analyst_11_view,intermediate_summary,262,268288,O_analyst_11,"[""O_trader_11""]",3,35,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_11_evidence,retrieval_result,231,236544,O_researcher_11,"[""O_trader_11""]",19,35,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_11,planner_output,259,265216,O_trader_11,"[""O_risk_11"", ""O_manager""]",35,64,output,,530.9499999999999,0.0,False,"{""dynamic_hot_candidate"": true}"
S_risk_11,critic_feedback,302,309248,O_risk_11,"[""O_manager""]",51,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_12,retrieval,408,417792,,"[""O_analyst_12"", ""O_researcher_12""]",0,20,inline,,428.40000000000003,0.0,True,{}
S_analyst_12_view,intermediate_summary,237,242688,O_analyst_12,"[""O_trader_12""]",4,36,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_research_12_evidence,retrieval_result,287,293888,O_researcher_12,"[""O_trader_12""]",20,36,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_12,planner_output,260,266240,O_trader_12,"[""O_risk_12"", ""O_manager""]",36,64,output,,533.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_12,critic_feedback,247,252928,O_risk_12,"[""O_manager""]",52,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_13,retrieval,389,398336,,"[""O_analyst_13"", ""O_researcher_13""]",0,21,inline,,408.45000000000005,0.0,True,{}
S_analyst_13_view,intermediate_summary,219,224256,O_analyst_13,"[""O_trader_13""]",5,37,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_research_13_evidence,retrieval_result,225,230400,O_researcher_13,"[""O_trader_13""]",21,37,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_trade_13,planner_output,258,264192,O_trader_13,"[""O_risk_13"", ""O_manager""]",37,64,output,,528.9,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_13,critic_feedback,249,254976,O_risk_13,"[""O_manager""]",53,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_14,retrieval,429,439296,,"[""O_analyst_14"", ""O_researcher_14""]",0,22,inline,,450.45000000000005,0.0,True,{}
S_analyst_14_view,intermediate_summary,245,250880,O_analyst_14,"[""O_trader_14""]",6,38,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_research_14_evidence,retrieval_result,272,278528,O_researcher_14,"[""O_trader_14""]",22,38,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_trade_14,planner_output,183,187392,O_trader_14,"[""O_risk_14"", ""O_manager""]",38,64,output,,375.15,0.0,False,"{""dynamic_hot_candidate"": true}"
S_risk_14,critic_feedback,268,274432,O_risk_14,"[""O_manager""]",54,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_15,retrieval,422,432128,,"[""O_analyst_15"", ""O_researcher_15""]",0,23,inline,,443.1,0.0,True,{}
S_analyst_15_view,intermediate_summary,233,238592,O_analyst_15,"[""O_trader_15""]",7,39,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_research_15_evidence,retrieval_result,227,232448,O_researcher_15,"[""O_trader_15""]",23,39,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": true}"
S_trade_15,planner_output,263,269312,O_trader_15,"[""O_risk_15"", ""O_manager""]",39,64,output,,539.15,0.0,False,"{""dynamic_hot_candidate"": false}"
S_risk_15,critic_feedback,253,259072,O_risk_15,"[""O_manager""]",55,64,output,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_portfolio_decision,output,219,224256,O_manager,[],64,64,output,,0.0,0.0,True,"{""dynamic_hot_candidate"": true}"
