baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,reuse_group_size,shared_prefix_tokens,decode_tokens,cross_job_prefix_hit_rate_observed
pat_like_traffic_only,16.0,100,0.3383016909804333,52742.58683061347,289308.38387216366,289308.3838721637,289308.3838721637,30980.419936824204,43919.40376837748,44112.393070810154,0.040315029560972424,0.04031502956097587,0.04031502956097587,1209775.7162005436,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,146.32021356374025,445.4395128414035,0.1160651445388794,189.9094032123685,506.63589034229517,1269.5736540481448,12.695736540481448,4.388305783109037e-05,1,512,32,0.0
waferagent_latency_safe,16.0,100,0.05832102968886497,9092.481812612805,1711038.1699399631,1714023.5428730107,1714375.831209068,10.923455346985293,10.92345534698552,10.92345534698552,0.040307315055185554,0.040307315055197704,0.040307315055197704,5867274.048654521,5895153.361877408,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,146.1868230253458,556.1407078057528,0.10284315794706345,92.14149601757526,336.84566523879766,1218.0383764207363,12.180383764207363,7.154393165418473e-06,1,512,32,0.0
apc_like,2.0,100,0.2944724914007522,45909.43929934288,289304.1838721637,289304.18387216376,289304.18387216376,27522.30413835388,45607.31718067107,48515.05803366733,0.040315029560974144,0.04031502956097576,0.040315029560975824,1211923.2378136956,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999914,0.0,1449551462400.0,1905891737600.0,144.416612572968,443.8533503562212,0.10740570724010468,2.5119539350271225,382.06337578594685,1134.105060249567,11.34105060249567,3.920112889728202e-05,1,512,128,0.0
pat_like_traffic_only,2.0,100,0.29446884945577123,45908.87150555255,289308.3838721637,289308.3838721638,289308.3838721638,27522.504138353892,45607.71718067107,48517.25803366733,0.040315029560974144,0.04031502956097576,0.040315029560975824,1211923.4230928216,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999914,0.0,1449551462400.0,1905891737600.0,144.08508501946926,446.1511252447963,0.1221606507897377,183.50263498723507,601.836996152997,1367.9372072219849,13.679372072219849,4.7283012988190263e-05,1,512,128,0.0
waferagent_latency_safe,2.0,100,0.057447631772864625,8956.315583916687,1708992.1264837992,1734410.3960637762,1737772.0444916969,10.92345534698535,10.923455346986884,10.923455346986884,0.04030731505519663,0.040307315055198356,0.040307315055198356,4976198.187961314,5477084.267556343,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,145.14213893562555,451.04587730020285,0.1039719209074974,89.6497517824173,329.4826149940491,1102.0364155992866,11.020364155992866,6.583496318663259e-06,1,512,128,0.0
apc_like,4.0,100,0.31801837503926467,49580.336742121515,289304.1838721637,289304.1838721637,289304.18387216376,28568.72002659223,40214.47375594888,42330.61330208913,0.040315029560973284,0.04031502956097578,0.04031502956097673,1206498.0470193133,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999889,0.0,1449551462400.0,1905891737600.0,147.4872175604105,443.23722645640373,0.10464433580636978,2.5319652631878853,312.5336980447173,1139.6252205595374,11.396252205595374,3.939193707143583e-05,1,512,128,0.0
pat_like_traffic_only,4.0,100,0.3180141273971512,49579.674517725456,289308.3838721637,289308.3838721637,289308.3838721637,28568.920026592226,40214.673755948876,42330.813302089126,0.040315029560973284,0.04031502956097578,0.04031502956097673,1206494.9326022777,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999889,0.0,1449551462400.0,1905891737600.0,144.24424804747105,444.0111117437482,0.11093821376562119,187.32220958918333,587.3778583481908,1345.5110639333725,13.455110639333725,4.650784902686789e-05,1,512,128,0.0
waferagent_latency_safe,4.0,100,0.0583172420881682,9091.891310513774,1700733.614724692,1712342.6984949117,1713882.9957435324,10.923455346986884,10.923455346986884,10.923455346986884,0.04030731505519792,0.040307315055198356,0.040307315055198356,4850379.824055494,5646460.654286201,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,145.7927394658327,450.5417514592409,0.10813120752573013,90.99832735955715,336.26260329037905,1111.3055609166622,11.113055609166622,6.573161698042316e-06,1,512,128,0.0
apc_like,8.0,100,0.331262159234656,51645.09567331981,289304.18387216364,289304.1838721637,289304.1838721637,28869.67951095332,41526.23456801079,44201.488838162215,0.040315029560973284,0.04031502956097587,0.04031502956097587,1207041.6603238236,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,146.45334146916866,516.4444278925657,0.10842643678188324,2.577485516667366,311.4456282928586,1137.7825774252415,11.377825774252415,3.9328244832020794e-05,1,512,128,0.0
pat_like_traffic_only,8.0,100,0.33125755044481625,51644.37714454863,289308.38387216366,289308.3838721637,289308.3838721637,28869.879510953324,41526.43456801079,44201.68883816221,0.040315029560973284,0.04031502956097587,0.04031502956097587,1207022.2436497624,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,146.26330137252808,535.818169824779,0.10902062058448792,193.22679843753576,516.6561910882592,1371.568744070828,13.71568744070828,4.740853775868734e-05,1,512,128,0.0
waferagent_latency_safe,8.0,100,0.05831961270842101,9092.260899693669,1707656.253915443,1713476.8303706162,1714246.977494499,10.92345534698552,10.923455346986884,10.923455346986884,0.04030731505518554,0.04030731505519792,0.04030731505519792,5428532.938724012,5533845.721594598,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,146.7405240982771,553.8313491269946,0.10363012552261353,93.1721767410636,338.0628451704979,1217.5004333257675,12.175004333257675,7.154412884218235e-06,1,512,128,0.0
apc_like,16.0,100,0.3383064978661658,52743.33624332671,289304.1838721637,289304.1838721637,289304.1838721637,30980.219936824207,43919.20376837748,44112.19307081016,0.040315029560972424,0.04031502956097587,0.04031502956097587,1209775.7162005436,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,144.68703232705593,445.4051423817873,0.10623037815093994,2.5512082502245903,308.5307143628597,1146.087878383696,11.46087878383696,3.9615323326610574e-05,1,512,128,0.0
pat_like_traffic_only,16.0,100,0.3383016909804333,52742.58683061347,289308.38387216366,289308.3838721637,289308.3838721637,30980.419936824204,43919.40376837748,44112.393070810154,0.040315029560972424,0.04031502956097587,0.04031502956097587,1209775.7162005436,0.0,0.0,0.0,0.0,0.0,1369020825600.0,5696482276147200.0,1.8871827601710258,4300800.0,10444800.0,2.0233322496,1139.29645522944,0.07247757312,1.52471339008,11.429169784422399,711246584217600.0,711246584217600.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,13606456.393728,0.0,cohort_stage,latency_p50_ms,711246584217600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67298.91839999887,0.0,1449551462400.0,1905891737600.0,145.95642033964396,445.61021216213703,0.11358503252267838,192.92687997221947,526.6852285712957,1300.3615597262979,13.003615597262979,4.494724771961283e-05,1,512,128,0.0
waferagent_latency_safe,16.0,100,0.05832102968886497,9092.481812612805,1711038.1699399631,1714023.5428730107,1714375.831209068,10.923455346985293,10.92345534698552,10.92345534698552,0.040307315055185554,0.040307315055197704,0.040307315055197704,5867274.048654521,5895153.361877408,0.0,0.0,0.0,0.0,2494839128064.0,301484026912768.0,1.407252855026636,4300800.0,10444800.0,2.0233322496,60.2968053825536,4.8378296873739,2.7685359190016,0.699265032385291,640802248615446.0,711246584217600.0,0.09904347826098259,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,31.39459294080734,0.0,cohort_stage,latency_p50_ms,640802248615446.0,201.0,2.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67298.91839999976,95307042285078.0,1449551462400.0,3460669898752.0,146.92454040050507,561.9894368574023,0.10603014379739761,92.48821344226599,337.349665351212,1224.9962268397212,12.249962268397212,7.1952614980155696e-06,1,512,128,0.0
