K,baseline,n_train,n_test,future_tool_cosine,future_tool_cosine_ci_low,future_tool_cosine_ci_high,future_tool_top3_recall,future_tool_top3_recall_ci_low,future_tool_top3_recall_ci_high,remaining_steps_mae,remaining_steps_mae_ci_low,remaining_steps_mae_ci_high,remaining_steps_r2,remaining_steps_r2_ci_low,remaining_steps_r2_ci_high,future_obs_spearman,future_obs_mae,future_obs_mae_ci_low,future_obs_mae_ci_high,long_auc,long_auc_ci_low,long_auc_ci_high,long_accuracy,long_accuracy_ci_low,long_accuracy_ci_high,future_tool_cosine_delta_global,future_tool_top3_recall_delta_global,remaining_steps_mae_delta_global,future_obs_mae_delta_global,long_auc_delta_global,long_accuracy_delta_global,future_obs_spearman_ci_low,future_obs_spearman_ci_high
3,global_mean_baseline,1050,450,0.4240790275564484,0.4042996133497676,0.44064629013978623,0.4601366742596811,0.4050329012083622,0.5034155096529473,48.85813333333334,37.15307555555556,66.51258444444444,-1.8263284969899374e-05,-0.07019673678604783,-1.0483687134132923e-06,,7636.4122793650795,6602.922148888889,8652.624595873016,0.5,0.5,0.5,0.7466666666666667,0.7066666666666667,0.7844444444444445,0.0,0.0,0.0,0.0,0.0,0.0,,
3,task_baseline,1050,450,0.5257952575128222,0.5045959993764552,0.5456886196270345,0.5968109339407744,0.537554876786084,0.6418996404661542,50.48353656470242,38.35953922116798,69.66893628388003,0.004016560359558441,-0.46694009637510536,0.04588213806124608,0.28797411402245343,7090.382200746654,6114.018078720657,8063.398493295921,0.662045739348371,0.6139242822235097,0.7215987516732175,0.7555555555555555,0.7154999999999999,0.7933888888888889,0.1017162299563738,0.13667425968109337,-1.6254032313690772,546.0300786184253,0.16204573934837097,0.008888888888888835,0.21947532823979185,0.37453899635716414
3,harness_baseline,1050,450,0.5537966135262692,0.5308795370394751,0.5724023503997934,0.55125284738041,0.4987763994681454,0.597701802507837,44.74897363397173,32.32961408576782,62.77116755438978,0.06902914251835401,-0.10596679617143606,0.09281330395990213,0.06870506887873248,7496.981781288092,6488.969126685461,8569.853969601501,0.778874269005848,0.731860430245726,0.8267132352941177,0.8088888888888889,0.7666111111111111,0.8444444444444444,0.1297175859698208,0.09111617312072895,4.109159699361612,139.43049807698753,0.278874269005848,0.06222222222222218,-0.024454738295293533,0.16879587502237614
3,task_harness_baseline,1050,450,0.6200643828032792,0.5956536551746469,0.641001945215824,0.6605922551252847,0.6231735159817352,0.6984752120026092,37.74890320504325,25.941021901406796,55.36479853845053,0.11784768036980053,-0.5765899368837928,0.35787797607941546,0.284228903190533,7170.726480515656,6195.75045856041,8103.949457141589,0.8301743943191311,0.7767805989763052,0.8733435409284694,0.84,0.8066666666666666,0.8777777777777778,0.19598535524683086,0.20045558086560367,11.109230128290093,465.6857988494239,0.3301743943191311,0.09333333333333327,0.2092015507568982,0.3731759961436718
3,early_fingerprint_model,1050,450,0.6017100965701475,0.5764403868301459,0.6222959955273938,0.6036446469248291,0.5597450414543321,0.6432386363636364,41.1172485205868,29.03980582065539,59.98962434023666,0.001996291446065279,-0.6113216262684522,0.07325239153834749,0.5015208015606002,5201.348432154146,4478.683826143634,5881.818798980715,0.8488277986633248,0.8021520882009344,0.8918936387986375,0.8266666666666667,0.7954444444444445,0.8556666666666667,0.17763106901369913,0.14350797266514803,7.740884812746543,2435.063847210933,0.3488277986633248,0.07999999999999996,0.41707247944373876,0.5632662971560555
5,global_mean_baseline,1050,450,0.4145121181861519,0.39881570295689667,0.4289425796957167,0.41687344913151364,0.37420577198107785,0.4604433162294332,53.17165714285715,35.779008888888896,73.78984253968254,-0.0008677530809406697,-0.05377497266804304,-3.619519603798026e-06,,7251.704799999999,6293.663597777778,8384.903197777776,0.5,0.5,0.5,0.7511111111111111,0.7154999999999999,0.7911666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,
5,task_baseline,1050,450,0.49915513759913904,0.4764064310330656,0.5190615441688806,0.5136476426799007,0.4587508928683317,0.5567016753414739,52.41250476957897,34.89530847222565,72.78174096451693,-0.010260757084403105,-0.5342792587913269,0.014889480178345354,0.2552285855286912,6834.718881403562,5895.291317154737,7940.128879317968,0.669946639898563,0.6173119071907789,0.721435822180781,0.7666666666666667,0.7354444444444445,0.8067222222222222,0.08464301941298713,0.09677419354838707,0.7591523732781766,416.98591859643693,0.16994663989856296,0.015555555555555656,0.16506004019530707,0.34623796789422795
5,harness_baseline,1050,450,0.5503665785274413,0.5304048293305659,0.5740703354795224,0.5607940446650124,0.5172176129980123,0.6066733048626117,48.47169269336951,31.58535664878595,68.66142560194423,0.06121959233574781,-0.16056563087318834,0.06993189244443926,0.09798513059698397,7113.438250567495,6124.517910536226,8184.942184659058,0.7971919907016061,0.7524832494708783,0.8471234177959721,0.8133333333333334,0.7821666666666667,0.8488888888888889,0.1358544603412894,0.14392059553349873,4.699964449487638,138.26654943250378,0.29719199070160607,0.06222222222222229,0.02030892942948585,0.19517941653969947
5,task_harness_baseline,1050,450,0.593001380691638,0.5699503427637832,0.6165157054454233,0.6476426799007444,0.5999752475247525,0.6950244974874371,43.75170716366918,25.311876437600638,66.13513639196087,0.020175074864852482,-0.32281749217915284,0.1057962305159025,0.2800468290822876,6653.359743389856,5750.920502234499,7519.046426729031,0.8523747886728656,0.8094413370511744,0.8973766840766361,0.8577777777777778,0.8243333333333334,0.8888888888888888,0.17848926250548608,0.23076923076923078,9.419949979187969,598.3450566101428,0.35237478867286565,0.10666666666666669,0.20258773433988247,0.3671699551569505
5,early_fingerprint_model,1050,450,0.6196676591730842,0.5973401169558717,0.6418367326576082,0.6674937965260546,0.618070289720206,0.7150642338484454,40.10331492824989,23.40737272727586,59.89915638331556,0.0704373684692301,0.026209384189831854,0.12740050680039341,0.5745909978146626,4649.26039201294,3912.2450957660544,5297.175743847476,0.8589919695688927,0.8215933520322697,0.90110187229528,0.8422222222222222,0.8088333333333333,0.8755555555555555,0.20515554098693228,0.2506203473945409,13.068342214607263,2602.444407987058,0.3589919695688927,0.09111111111111114,0.5123850830576988,0.6544396097341363
