engine,model_name,input_len,output_len,batch_size,ttft_ms,decode_ms,total_ms
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,32,2,66.349216,13.019999999999996,79.369216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,32,4,66.349216,13.019999999999996,79.369216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,32,8,66.349216,13.019999999999996,79.369216
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,128,1,66.349216,53.33999999999999,119.68921599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,128,2,66.349216,53.33999999999999,119.68921599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,128,4,66.349216,53.33999999999999,119.68921599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,128,8,66.349216,53.33999999999999,119.68921599999999
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,256,1,66.349216,107.09999999999998,173.44921599999998
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,256,2,66.349216,107.09999999999998,173.44921599999998
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,256,4,66.349216,107.09999999999998,173.44921599999998
synthetic,Qwen2.5-14B-Instruct-1M-local,4096,256,8,66.349216,107.09999999999998,173.44921599999998
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,1,1,165.832864,0.0,165.832864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,1,2,165.832864,0.0,165.832864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,1,4,165.832864,0.0,165.832864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,1,8,165.832864,0.0,165.832864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,32,1,165.832864,13.02000000000001,178.852864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,32,2,165.832864,13.02000000000001,178.852864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,32,4,165.832864,13.02000000000001,178.852864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,32,8,165.832864,13.02000000000001,178.852864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,128,1,165.832864,53.34,219.172864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,128,2,165.832864,53.34,219.172864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,128,4,165.832864,53.34,219.172864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,128,8,165.832864,53.34,219.172864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,256,1,165.832864,107.1,272.932864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,256,2,165.832864,107.1,272.932864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,256,4,165.832864,107.1,272.932864
synthetic,Qwen2.5-14B-Instruct-1M-local,8192,256,8,165.832864,107.1,272.932864
