trace_idx,state_id,state_type,tokens,access_count,first_access,last_access,cross_agent
1,state_1020a9f1ff4778df,task_prefix,91,26,32,82,False
1,state_aefa4ed4b203cf14,assistant_delta,70,25,34,82,False
1,state_fddcdd5228dac381,file_context,319,25,34,82,False
1,state_4daace29da790dcd,assistant_delta,58,24,36,82,False
1,state_3445c4d38b0d3a87,file_context,84,24,36,82,False
1,state_2340662000b9d074,assistant_delta,85,23,38,82,False
1,state_edc70c83841bb04a,file_context,24,23,38,82,False
1,state_dabf7d08706615c9,assistant_delta,75,22,40,82,False
1,state_938e4bea9acef1a5,file_context,327,22,40,82,False
1,state_a59df3fe06d4ffe6,assistant_delta,84,21,42,82,False
1,state_2a6a2cc9415a4a6c,file_context,1294,21,42,82,False
1,state_f33e46ff03daef76,assistant_delta,74,20,44,82,False
1,state_40b0365fd8fe0630,file_context,614,20,44,82,False
1,state_0a19a5aae996f22e,assistant_delta,58,19,46,82,False
1,state_dd629113e968deaf,file_context,897,19,46,82,False
1,state_7e84a3588b68e8ce,assistant_delta,53,18,48,82,False
1,state_5a0f125e8fc471fb,file_context,262,18,48,82,False
1,state_1df459b1cb42492d,assistant_delta,214,17,50,82,False
1,state_6e1954bb48f15161,file_context,10,17,50,82,False
1,state_854ead892ee69d3e,assistant_delta,48,16,52,82,False
1,state_db6bafeff3307c02,file_context,249,16,52,82,False
1,state_74761521b9f62870,assistant_delta,54,15,54,82,False
1,state_947b25a4b1d62554,test_failure_summary,1686,15,54,82,False
1,state_b823369fe2183735,assistant_delta,1106,14,56,82,False
1,state_4946937d6198d96a,file_context,6,14,56,82,False
1,state_dc478959b303684a,assistant_delta,87,13,58,82,False
1,state_0aca50dcfae6b088,tool_observation,139,13,58,82,False
1,state_21a9fb08d747f287,assistant_delta,163,12,60,82,False
1,state_d7933b65baf1166c,tool_observation,9,12,60,82,False
1,state_f7804209e9efde6a,assistant_delta,57,11,62,82,False
1,state_012646d940bc8d91,test_failure_summary,1625,11,62,82,False
1,state_db764b1a27e199dc,assistant_delta,110,10,64,82,False
1,state_2f006ce676006289,file_context,821,10,64,82,False
1,state_445250de509a772b,assistant_delta,612,9,66,82,False
1,state_d41c834cb9697884,file_context,14,9,66,82,False
1,state_0a845e493c615b88,assistant_delta,61,8,68,82,False
1,state_4f53954adf56ceee,file_context,332,8,68,82,False
1,state_e4696a37d14af99e,assistant_delta,166,7,70,82,False
1,state_ebba759fb7fde9b3,failure_summary,16,7,70,82,False
1,state_3a7f1828be2f626f,assistant_delta,159,6,72,82,False
1,state_e7ea5b454cc699ff,file_context,18,6,72,82,False
1,state_6137b5975a0dd8c5,assistant_delta,87,5,74,82,False
1,state_d5b89d688d79a1ab,file_context,575,5,74,82,False
1,state_6db5ca00eeb5786d,assistant_delta,57,4,76,82,False
1,state_ba7456defcfd0514,file_context,252,4,76,82,False
1,state_be65f73b84994054,assistant_delta,61,3,78,82,False
1,state_4ae2f5587716330a,file_context,188,3,78,82,False
1,state_ea92a3d696529f46,assistant_delta,71,2,80,82,False
1,state_4061472e3c0f0485,file_context,85,2,80,82,False
1,state_c76f7054e4ca0d9d,assistant_delta,170,1,82,82,False
1,state_a0dc08e17bfbda21,file_context,247,1,82,82,False
2,state_2f33ac6b9c7bfb7d,system_prefix,104,37,2,74,False
2,state_d842a01cc7951d20,failure_summary,1337,37,2,74,False
2,state_91fa424e2052dc71,assistant_delta,54,36,4,74,False
2,state_cf6087dcf250561f,tool_observation,123,36,4,74,False
2,state_c75bc92c7e6b1910,assistant_delta,53,35,6,74,False
2,state_975c659ad207e4ce,file_context,345,35,6,74,False
2,state_dabe9198096114f1,assistant_delta,65,34,8,74,False
2,state_6a576c3d7babd33e,file_context,1112,34,8,74,False
2,state_aa957641ed0fc4b7,assistant_delta,39,33,10,74,False
2,state_63f9f62c4684ebc6,tool_observation,5,33,10,74,False
2,state_cbe96d358d004a82,assistant_delta,59,32,12,74,False
2,state_2f5e5ea66ec747e7,file_context,781,32,12,74,False
2,state_f452ae46df10acec,assistant_delta,118,31,14,74,False
2,state_bf5d9cae0df49fbc,file_context,3,31,14,74,False
2,state_8cc51e728bcb76a1,assistant_delta,68,30,16,74,False
2,state_4921b45937677fde,file_context,150,30,16,74,False
2,state_511f93e33e376c0f,assistant_delta,91,29,18,74,False
2,state_d0f7016a251ad5a5,file_context,585,29,18,74,False
2,state_b515dc9a2d570437,assistant_delta,122,28,20,74,False
2,state_4ced87bb3d9b32de,file_context,153,28,20,74,False
2,state_2de65816390ca54d,assistant_delta,93,27,22,74,False
2,state_104792c7ba4d73bc,tool_observation,55,27,22,74,False
2,state_5dffa9a54283ec68,assistant_delta,57,26,24,74,False
2,state_d16c66e776e3a268,test_failure_summary,1020,26,24,74,False
2,state_657fd5151476f7e8,assistant_delta,61,25,26,74,False
2,state_2d1e9c0d52a52524,test_failure_summary,1023,25,26,74,False
2,state_128467bbeabead5f,assistant_delta,109,24,28,74,False
2,state_739c8cef37ac5e77,tool_observation,344,24,28,74,False
2,state_fb7e4c29bae06449,assistant_delta,89,23,30,74,False
2,state_6f93dfe9a66775a0,tool_observation,78,23,30,74,False
2,state_359a0811393872a1,assistant_delta,89,22,32,74,False
2,state_49311523702c76d5,edit_diff,923,22,32,74,False
2,state_2659e8646fbd0c23,assistant_delta,122,21,34,74,False
2,state_e655b251780d06a5,tool_observation,210,21,34,74,False
2,state_eef633685f7b47b2,assistant_delta,111,20,36,74,False
2,state_643150f3b2f2e17b,tool_observation,3,20,36,74,False
2,state_37beaf4f750b68eb,assistant_delta,85,19,38,74,False
2,state_39e60ccc350817fb,tool_observation,3,19,38,74,False
2,state_8a38bf4ed09309f2,assistant_delta,50,18,40,74,False
2,state_c3ba36293c7f0ee3,file_context,32,18,40,74,False
2,state_b458f1eacba01956,assistant_delta,65,17,42,74,False
2,state_c7e3454c403152e3,file_context,339,17,42,74,False
2,state_67fac18ddb6feea4,assistant_delta,111,16,44,74,False
2,state_032245b5824cc762,tool_observation,3,16,44,74,False
2,state_135e7ace70692477,assistant_delta,80,15,46,74,False
2,state_99af7d1da7e11481,tool_observation,153,15,46,74,False
2,state_11f713655338617a,assistant_delta,91,14,48,74,False
2,state_22abde73121ed9ff,tool_observation,3,14,48,74,False
2,state_8d92fca06b93902e,assistant_delta,68,13,50,74,False
2,state_c3ac529552d86cd4,tool_observation,150,13,50,74,False
2,state_a70ac10e725ba2da,assistant_delta,61,12,52,74,False
2,state_b278e8dd83f42180,test_failure_summary,1277,12,52,74,False
2,state_fa2a6ebc0949d4b8,assistant_delta,124,11,54,74,False
2,state_ac3c56379ed4e850,file_context,14,11,54,74,False
2,state_15ba6ba9341d88da,assistant_delta,87,10,56,74,False
2,state_07cdcb66dbad5454,test_failure_summary,120,10,56,74,False
2,state_b163d4ae69500522,assistant_delta,128,9,58,74,False
2,state_9d2d2d2bbfc1c5e9,test_failure_summary,16,9,58,74,False
2,state_ea292f7294a8828e,assistant_delta,145,8,60,74,False
2,state_890793060a53db2d,tool_observation,3,8,60,74,False
2,state_f3b1078ce917298a,assistant_delta,74,7,62,74,False
2,state_bdaa53095a213633,file_context,145,7,62,74,False
2,state_7b47d92a6366dc60,assistant_delta,59,6,64,74,False
2,state_42b0d509ae52f4c0,test_failure_summary,120,6,64,74,False
2,state_49b7d754a2c43ba9,assistant_delta,74,5,66,74,False
2,state_70e7c99dd704c885,test_failure_summary,1157,5,66,74,False
2,state_84e1f4d3dc260882,assistant_delta,91,4,68,74,False
2,state_f392f133823ad32a,tool_observation,3,4,68,74,False
2,state_4904474037f8af23,assistant_delta,71,3,70,74,False
2,state_c10029fe177a8127,test_failure_summary,1019,3,70,74,False
2,state_7e82c86dbc7bad7c,assistant_delta,169,2,72,74,False
2,state_7bfef1dcab06261e,file_context,14,2,72,74,False
2,state_39aa215cce865ac3,assistant_delta,143,1,74,74,False
2,state_e0377f356195d804,file_context,247,1,74,74,False
