src_tool,dst_tool,dependency_type,count
execute,set,file_path_from_output_to_next_arg,7
search,spacecurve.py,file_path_from_output_to_next_arg,7
learned_dag.csv,learned_dag.csv,file_path_from_output_to_next_arg,7
unknown,apt-get,file_path_from_output_to_next_arg,6
edit,test,file_path_from_output_to_next_arg,6
printf,list_files,file_path_from_output_to_next_arg,6
r,unknown,file_path_from_output_to_next_arg,6
cd,list_files,file_path_from_output_to_next_arg,6
pyknotid,periodic_knot.py,file_path_from_output_to_next_arg,6
pyknotid,openknot.py,file_path_from_output_to_next_arg,6
read_file,ps,file_path_from_output_to_next_arg,6
read_file,r,file_path_from_output_to_next_arg,6
sleep,rscript,file_path_from_output_to_next_arg,6
list_files,pip,file_path_from_output_to_next_arg,6
rscript,wc,file_path_from_output_to_next_arg,6
r,r,file_path_from_output_to_next_arg,6
insert,nl,file_path_from_output_to_next_arg,6
out.html,read_file,file_path_from_output_to_next_arg,6
pip,unknown,file_path_from_output_to_next_arg,6
execute,30,file_path_from_output_to_next_arg,5
deactivate,read_file,file_path_from_output_to_next_arg,5
pyknotid,edit,file_path_from_output_to_next_arg,5
execute,execute,url_from_search_to_open,5
chmod,execute,file_path_from_output_to_next_arg,5
periodic_knot.py,periodic_knot.py,file_path_from_output_to_next_arg,5
exit,read_file,file_path_from_output_to_next_arg,5
rscript,rscript,url_from_search_to_open,5
vi,read_file,file_path_from_output_to_next_arg,5
search,periodiccell.py,file_path_from_output_to_next_arg,5
representation.py,representation.py,file_path_from_output_to_next_arg,5
pyknotid,torus.py,file_path_from_output_to_next_arg,5
execute,dag_recovery_minimal.py,file_path_from_output_to_next_arg,5
read_file,test,file_path_from_output_to_next_arg,5
str_replace,source,file_path_from_output_to_next_arg,4
source,read_file,file_path_from_output_to_next_arg,4
sleep,wc,file_path_from_output_to_next_arg,4
execute,causal_discovery.py,file_path_from_output_to_next_arg,4
rscript,edit,file_path_from_output_to_next_arg,4
wc,cd,file_path_from_output_to_next_arg,4
wc,awk,file_path_from_output_to_next_arg,4
list_files,search,file_path_from_output_to_next_arg,4
list_files,setup.py,file_path_from_output_to_next_arg,4
list_files,r,file_path_from_output_to_next_arg,4
search,invariants.py,file_path_from_output_to_next_arg,4
unknown,test,file_path_from_output_to_next_arg,4
vi,execute,file_path_from_output_to_next_arg,4
export,export,file_path_from_output_to_next_arg,4
insert,export,file_path_from_output_to_next_arg,4
import,unknown,file_path_from_output_to_next_arg,4
read_file,import,file_path_from_output_to_next_arg,4
read_file,diff,file_path_from_output_to_next_arg,4
nano,execute,file_path_from_output_to_next_arg,4
execute,import,file_path_from_output_to_next_arg,4
nano,read_file,file_path_from_output_to_next_arg,4
ps,read_file,file_path_from_output_to_next_arg,4
pyknotid,periodiccell.py,file_path_from_output_to_next_arg,4
execute,cd,file_path_from_output_to_next_arg,4
r,list_files,file_path_from_output_to_next_arg,4
pip,edit,file_path_from_output_to_next_arg,4
pip,pip,file_path_from_output_to_next_arg,4
cd,export,file_path_from_output_to_next_arg,4
20,edit,file_path_from_output_to_next_arg,4
c-c,read_file,file_path_from_output_to_next_arg,3
cd,search,file_path_from_output_to_next_arg,3
torus.py,torus.py,file_path_from_output_to_next_arg,3
unknown,pip,file_path_from_output_to_next_arg,3
unknown,printf,file_path_from_output_to_next_arg,3
todowrite,execute,file_path_from_output_to_next_arg,3
test,execute,error_file_to_read_or_edit,3
read_file,pip,file_path_from_output_to_next_arg,3
search,for,file_path_from_output_to_next_arg,3
unknown,rscript,file_path_from_output_to_next_arg,3
learned_dag.csv,unknown,file_path_from_output_to_next_arg,3
execute,edit,url_from_search_to_open,3
execute,recover_dag.py,file_path_from_output_to_next_arg,3
pyknotid,dtnotation.py,file_path_from_output_to_next_arg,3
pyknotid,gausscode.py,file_path_from_output_to_next_arg,3
pip,cd,file_path_from_output_to_next_arg,3
pip,read_file,file_path_from_output_to_next_arg,3
pip,test,file_path_from_output_to_next_arg,3
pip,execute,file_path_from_output_to_next_arg,3
pip,list_files,file_path_from_output_to_next_arg,3
payload.html,payload.html,file_path_from_output_to_next_arg,3
out.html,payload.html,file_path_from_output_to_next_arg,3
read_file,nl,file_path_from_output_to_next_arg,3
edit,for,file_path_from_output_to_next_arg,3
str_replace,unknown,file_path_from_output_to_next_arg,3
pip3,apt-get,file_path_from_output_to_next_arg,2
periodiccell.py,periodiccell.py,file_path_from_output_to_next_arg,2
plan,execute,file_path_from_output_to_next_arg,2
printf,execute,file_path_from_output_to_next_arg,2
execute,unset,file_path_from_output_to_next_arg,2
import,edit,file_path_from_output_to_next_arg,2
pyknotid,knot.py,file_path_from_output_to_next_arg,2
printf,wc,file_path_from_output_to_next_arg,2
python3.12,cd,file_path_from_output_to_next_arg,2
python3.11,search,file_path_from_output_to_next_arg,2
pyknotid,octree.py,file_path_from_output_to_next_arg,2
q,read_file,file_path_from_output_to_next_arg,2
printf,test,file_path_from_output_to_next_arg,2
printf,od,file_path_from_output_to_next_arg,2
unknown,import,file_path_from_output_to_next_arg,2
create_bypass.py,edit,file_path_from_output_to_next_arg,2
unknown,awk,file_path_from_output_to_next_arg,2
undo_edit,execute,file_path_from_output_to_next_arg,2
30,30,file_path_from_output_to_next_arg,2
wc,wc,file_path_from_output_to_next_arg,2
test,unknown,error_file_to_read_or_edit,2
todowrite,learned_dag.csv,file_path_from_output_to_next_arg,2
.,execute,file_path_from_output_to_next_arg,2
todowrite,out.html,file_path_from_output_to_next_arg,2
20,execute,file_path_from_output_to_next_arg,2
for,edit,file_path_from_output_to_next_arg,2
export,export,url_from_search_to_open,2
insert,cd,file_path_from_output_to_next_arg,2
list_files,intervened_dag.csv,file_path_from_output_to_next_arg,2
list_files,rscript,file_path_from_output_to_next_arg,2
str_replace,export,file_path_from_output_to_next_arg,2
source,unset,file_path_from_output_to_next_arg,2
read_file,chmod,file_path_from_output_to_next_arg,2
list_files,applypatch,file_path_from_output_to_next_arg,2
exit,execute,file_path_from_output_to_next_arg,2
list_files,nl,file_path_from_output_to_next_arg,2
edit,unknown,url_from_search_to_open,2
execute,15,file_path_from_output_to_next_arg,2
str_replace,git,file_path_from_output_to_next_arg,2
execute,applypatch,file_path_from_output_to_next_arg,2
create_unicode_bypass.py,out.html,file_path_from_output_to_next_arg,2
edit,edit,url_from_search_to_open,2
meta2.html,execute,file_path_from_output_to_next_arg,2
meta.html,meta.html,file_path_from_output_to_next_arg,2
openknot.py,edit,file_path_from_output_to_next_arg,2
read_file,unset,file_path_from_output_to_next_arg,2
read_file,unknown,url_from_search_to_open,2
read_file,edit,url_from_search_to_open,2
unknown,read_file,url_from_search_to_open,2
unset,cd,file_path_from_output_to_next_arg,2
search,octree.py,file_path_from_output_to_next_arg,2
search,knot.py,file_path_from_output_to_next_arg,2
execute,pip,file_path_from_output_to_next_arg,2
execute,set,url_from_search_to_open,2
execute,source,file_path_from_output_to_next_arg,2
execute,test_pyknotid.py,file_path_from_output_to_next_arg,2
read_file,applypatch,file_path_from_output_to_next_arg,2
execute,ln,file_path_from_output_to_next_arg,2
pip,apt-get,file_path_from_output_to_next_arg,2
xxd,od,file_path_from_output_to_next_arg,2
export,r,url_from_search_to_open,2
execute_ipython_cell,awk,file_path_from_output_to_next_arg,2
git,execute,file_path_from_output_to_next_arg,2
apt-get,unknown,url_from_search_to_open,1
30,execute,file_path_from_output_to_next_arg,1
.,read_file,file_path_from_output_to_next_arg,1
todowrite,edit,file_path_from_output_to_next_arg,1
todowrite,intervened_dag.csv,file_path_from_output_to_next_arg,1
test_outputs.py,edit,file_path_from_output_to_next_arg,1
test_foreign.py,execute,file_path_from_output_to_next_arg,1
test_spacecurve.py,test_spacecurve.py,file_path_from_output_to_next_arg,1
svg_use.html,execute,file_path_from_output_to_next_arg,1
svg_xlink_actuate.html,execute,file_path_from_output_to_next_arg,1
test.html,payload.html,file_path_from_output_to_next_arg,1
test_comment.py,execute,file_path_from_output_to_next_arg,1
test_confusion.py,execute,file_path_from_output_to_next_arg,1
unknown,meta.html,file_path_from_output_to_next_arg,1
unknown,payload.html,file_path_from_output_to_next_arg,1
svg_img.html,svg_img.html,file_path_from_output_to_next_arg,1
svg_img.html,execute,file_path_from_output_to_next_arg,1
svg_img_script.html,execute,file_path_from_output_to_next_arg,1
svg_use_script.html,execute,file_path_from_output_to_next_arg,1
svg_prefix_script.html,execute,file_path_from_output_to_next_arg,1
attr.html,execute,file_path_from_output_to_next_arg,1
complexity.py,complexity.py,file_path_from_output_to_next_arg,1
cd,setup.py,file_path_from_output_to_next_arg,1
cd,pip,file_path_from_output_to_next_arg,1
base_refresh.html,execute,file_path_from_output_to_next_arg,1
attr.html,attr.html,file_path_from_output_to_next_arg,1
create_unicode_bypass.py,execute,file_path_from_output_to_next_arg,1
create_bypass.py,execute,file_path_from_output_to_next_arg,1
create_unicode_bypass.py,edit,file_path_from_output_to_next_arg,1
xxd,execute,file_path_from_output_to_next_arg,1
.,nl,file_path_from_output_to_next_arg,1
wc,learned_dag.csv,file_path_from_output_to_next_arg,1
wc,od,file_path_from_output_to_next_arg,1
todowrite,read_file,file_path_from_output_to_next_arg,1
test_parser.py,execute,file_path_from_output_to_next_arg,1
od,od,file_path_from_output_to_next_arg,1
git,read_file,file_path_from_output_to_next_arg,1
execute,r,file_path_from_output_to_next_arg,1
intervened_dag.csv,wc,file_path_from_output_to_next_arg,1
intervened_dag.csv,unknown,file_path_from_output_to_next_arg,1
intervened_dag.csv,intervened_dag.csv,file_path_from_output_to_next_arg,1
glob,setup.py,file_path_from_output_to_next_arg,1
img_js.html,execute,file_path_from_output_to_next_arg,1
od,execute,file_path_from_output_to_next_arg,1
r,read_file,url_from_search_to_open,1
pip3,pip3,file_path_from_output_to_next_arg,1
pip3,edit,file_path_from_output_to_next_arg,1
periodicline.py,periodicline.py,file_path_from_output_to_next_arg,1
perl,read_file,file_path_from_output_to_next_arg,1
printf,xxd,file_path_from_output_to_next_arg,1
pyknotid,setup.py,file_path_from_output_to_next_arg,1
out.html,unknown,file_path_from_output_to_next_arg,1
xxd,printf,file_path_from_output_to_next_arg,1
q,execute,file_path_from_output_to_next_arg,1
execute,od,file_path_from_output_to_next_arg,1
execute,named.py,file_path_from_output_to_next_arg,1
execute,learn_bn.py,file_path_from_output_to_next_arg,1
nano,vi,file_path_from_output_to_next_arg,1
execute,setup.py,file_path_from_output_to_next_arg,1
nl,edit,file_path_from_output_to_next_arg,1
read_file,ln,file_path_from_output_to_next_arg,1
learned_dag.csv,wc,file_path_from_output_to_next_arg,1
learned_dag.csv,read_file,file_path_from_output_to_next_arg,1
wc,edit,file_path_from_output_to_next_arg,1
vim,nano,file_path_from_output_to_next_arg,1
vi,nano,file_path_from_output_to_next_arg,1
search,cd,file_path_from_output_to_next_arg,1
search,test,file_path_from_output_to_next_arg,1
unknown,r,file_path_from_output_to_next_arg,1
search,nl,file_path_from_output_to_next_arg,1
read_file,apt-get,file_path_from_output_to_next_arg,1
openknot.py,search,file_path_from_output_to_next_arg,1
execute,xxd,file_path_from_output_to_next_arg,1
read_file,set,url_from_search_to_open,1
refresh.html,execute,file_path_from_output_to_next_arg,1
refresh_data.html,execute,file_path_from_output_to_next_arg,1
run_shell_command,torus.py,file_path_from_output_to_next_arg,1
split.html,split.html,file_path_from_output_to_next_arg,1
split.html,execute,file_path_from_output_to_next_arg,1
meta2.html,meta2.html,file_path_from_output_to_next_arg,1
solve_bn.py,execute,file_path_from_output_to_next_arg,1
list_files,final_bn_sample.csv,file_path_from_output_to_next_arg,1
link_js.html,execute,file_path_from_output_to_next_arg,1
list_files,learned_dag.csv,file_path_from_output_to_next_arg,1
meta.html,execute,file_path_from_output_to_next_arg,1
edit,perl,file_path_from_output_to_next_arg,1
css_js.html,execute,file_path_from_output_to_next_arg,1
df,read_file,file_path_from_output_to_next_arg,1
edit,15,file_path_from_output_to_next_arg,1
execute,20,file_path_from_output_to_next_arg,1
svg_anim_image2.html,execute,file_path_from_output_to_next_arg,1
svg_image_js.html,execute,file_path_from_output_to_next_arg,1
xxd,wc,file_path_from_output_to_next_arg,1
