time,frontier_width,operator_ids,prefill_demand,decode_demand,local_tool_demand,total_demand,phase_mix_entropy,workflow
6.306,4,"[""O_coder_0"", ""O_coder_1"", ""O_coder_2"", ""O_coder_3""]",24.446,5.952,0.0,30.398000000000003,0.7134529447149408,software_dev
13.62,1,"[""O_tester_0""]",5.238,1.482,0.0,6.720000000000001,0.7611444957932554,software_dev
13.776,1,"[""O_tester_1""]",5.25,1.494,0.0,6.744,0.7629518656260134,software_dev
13.97,1,"[""O_tester_3""]",5.3500000000000005,1.608,0.0,6.958,0.7799254729678882,software_dev
14.256,1,"[""O_tester_2""]",5.346,1.1340000000000001,0.0,6.48,0.6690158350565576,software_dev
20.34,1,"[""O_debugger_0""]",4.132,1.26,0.0,5.3919999999999995,0.7843706013305237,software_dev
20.52,1,"[""O_debugger_1""]",4.148,1.494,0.0,5.6419999999999995,0.8339031795284322,software_dev
20.736,1,"[""O_debugger_2""]",4.124,1.716,0.0,5.84,0.8736245573332531,software_dev
20.928,1,"[""O_debugger_3""]",4.2860000000000005,1.698,0.0,5.984,0.8605191965559619,software_dev
26.912,1,"[""O_reviewer""]",6.856,1.452,0.0,8.308,0.6685039734487488,software_dev
