op_id,dependencies,estimated_input_tokens,estimated_output_tokens,prefill_cost,decode_cost,local_tool_cost,criticality,earliest_ready_time,kind,role,metadata,total_cost,workflow
O_transcript_r1,"[""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3""]",989,989,0.0,0.0,0.5945,0.8,23.6275,aggregate,transcript_builder,"{""phase_profile"": ""mixed"", ""source_role"": ""transcript_builder""}",0.5945,debate
O_judge,"[""O_transcript_r1""]",2989,275,5.978,1.6500000000000001,0.0,2.2,24.222,llm,judge,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""judge""}",7.628,debate
O_expert_draft,[],3000,251,6.0,1.506,0.0,1.6,0.0,llm,expert,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""expert""}",7.506,reflection
O_critic_0,"[""O_expert_draft""]",2600,219,5.2,1.314,0.0,1.0,7.506,llm,critic_0,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""critic_0""}",6.514,reflection
O_critic_1,"[""O_expert_draft""]",2647,238,5.2940000000000005,1.428,0.0,1.0,7.506,llm,critic_1,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""critic_1""}",6.722,reflection
O_critic_2,"[""O_expert_draft""]",2702,279,5.404,1.674,0.0,1.0,7.506,llm,critic_2,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""critic_2""}",7.077999999999999,reflection
O_revise,"[""O_critic_0"", ""O_critic_1"", ""O_critic_2"", ""O_expert_draft""]",2987,230,5.974,1.3800000000000001,0.0,2.0,14.584,llm,reviser,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""reviser""}",7.354,reflection
O_refine_0,[],4890,208,9.78,1.248,0.0,1.0,0.0,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",11.027999999999999,iterative
O_refine_1,"[""O_refine_0""]",5001,285,10.002,1.71,0.0,1.1,11.027999999999999,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",11.712,iterative
O_refine_2,"[""O_refine_1""]",5102,225,10.204,1.35,0.0,1.2,22.74,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",11.554,iterative
O_refine_3,"[""O_refine_2""]",4843,217,9.686,1.302,0.0,1.3,34.294,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",10.988,iterative
O_refine_4,"[""O_refine_3""]",4984,299,9.968,1.794,0.0,1.4,45.282,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",11.762,iterative
O_refine_5,"[""O_refine_4""]",5098,315,10.196,1.8900000000000001,0.0,1.5,57.044,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",12.086,iterative
O_refine_6,"[""O_refine_5""]",5191,189,10.382,1.1340000000000001,0.0,1.6,69.13,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",11.516,iterative
O_refine_7,"[""O_refine_6""]",4963,186,9.926,1.116,0.0,1.7000000000000002,80.646,llm,iterative_refiner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""iterative_refiner""}",11.042,iterative
O_chain_0_0,[],3445,208,6.890000000000001,1.248,0.0,1.0,0.0,llm,chain_0_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_0_worker""}",8.138,parallel_chains
O_chain_1_0,[],3396,238,6.792,1.428,0.0,1.0,0.0,llm,chain_1_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_1_worker""}",8.219999999999999,parallel_chains
O_chain_2_0,[],3447,230,6.894,1.3800000000000001,0.0,1.0,0.0,llm,chain_2_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_2_worker""}",8.274000000000001,parallel_chains
O_chain_3_0,[],3375,304,6.75,1.824,0.0,1.0,0.0,llm,chain_3_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_3_worker""}",8.574,parallel_chains
O_chain_0_1,"[""O_chain_0_0""]",3653,219,7.306,1.314,0.0,1.15,8.138,llm,chain_0_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_0_worker""}",8.620000000000001,parallel_chains
O_chain_1_1,"[""O_chain_1_0""]",3634,282,7.268,1.692,0.0,1.15,8.219999999999999,llm,chain_1_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_1_worker""}",8.959999999999999,parallel_chains
O_chain_2_1,"[""O_chain_2_0""]",3677,233,7.354,1.3980000000000001,0.0,1.15,8.274000000000001,llm,chain_2_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_2_worker""}",8.752,parallel_chains
O_chain_3_1,"[""O_chain_3_0""]",3679,244,7.3580000000000005,1.464,0.0,1.15,8.574,llm,chain_3_worker,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""chain_3_worker""}",8.822000000000001,parallel_chains
O_writer,"[""O_chain_0_1"", ""O_chain_1_1"", ""O_chain_2_1"", ""O_chain_3_1""]",2978,241,5.956,1.446,0.0,2.0,17.396,llm,writer,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""writer""}",7.402,parallel_chains
O_analyst_0,[],2845,208,5.69,1.248,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",6.938000000000001,trading
O_analyst_1,[],2809,225,5.618,1.35,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",6.968,trading
O_analyst_2,[],2838,189,5.676,1.1340000000000001,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",6.8100000000000005,trading
O_analyst_3,[],2826,283,5.652,1.698,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",7.35,trading
O_analyst_4,[],2790,220,5.58,1.32,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",6.9,trading
O_analyst_5,[],2886,229,5.772,1.374,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",7.146000000000001,trading
O_analyst_6,[],2688,246,5.376,1.476,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",6.852,trading
O_analyst_7,[],2785,211,5.57,1.266,0.0,1.1,0.0,llm,analyst,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""analyst""}",6.836,trading
O_researcher_0,[],2845,219,5.69,1.314,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.0040000000000004,trading
O_researcher_1,[],2809,249,5.618,1.494,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.112,trading
O_researcher_2,[],2838,286,5.676,1.716,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.392,trading
O_researcher_3,[],2826,242,5.652,1.452,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.104,trading
O_researcher_4,[],2790,284,5.58,1.704,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.284,trading
O_researcher_5,[],2886,240,5.772,1.44,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.212,trading
O_researcher_6,[],2688,239,5.376,1.434,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",6.8100000000000005,trading
O_researcher_7,[],2785,263,5.57,1.578,0.0,1.0,0.0,llm,researcher,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""researcher""}",7.148000000000001,trading
O_trader_0,"[""O_analyst_0"", ""O_researcher_0""]",2027,247,4.054,1.482,0.0,1.5,7.0040000000000004,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.5360000000000005,trading
O_trader_1,"[""O_analyst_1"", ""O_researcher_1""]",2074,249,4.148,1.494,0.0,1.5,7.112,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.6419999999999995,trading
O_trader_2,"[""O_analyst_2"", ""O_researcher_2""]",2075,222,4.15,1.332,0.0,1.5,7.392,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.482,trading
O_trader_3,"[""O_analyst_3"", ""O_researcher_3""]",2125,262,4.25,1.572,0.0,1.5,7.35,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.822,trading
O_trader_4,"[""O_analyst_4"", ""O_researcher_4""]",2104,250,4.208,1.5,0.0,1.5,7.284,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.708,trading
O_trader_5,"[""O_analyst_5"", ""O_researcher_5""]",2069,238,4.138,1.428,0.0,1.5,7.212,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.566,trading
O_trader_6,"[""O_analyst_6"", ""O_researcher_6""]",2085,213,4.17,1.278,0.0,1.5,6.852,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.448,trading
O_trader_7,"[""O_analyst_7"", ""O_researcher_7""]",2074,245,4.148,1.47,0.0,1.5,7.148000000000001,llm,trader,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""trader""}",5.617999999999999,trading
O_risk_0,"[""O_trader_0""]",2647,210,5.2940000000000005,1.26,0.0,1.7,12.540000000000001,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.554,trading
O_risk_1,"[""O_trader_1""]",2649,315,5.298,1.8900000000000001,0.0,1.7,12.754,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",7.188000000000001,trading
O_risk_2,"[""O_trader_2""]",2622,212,5.244,1.272,0.0,1.7,12.874,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.516,trading
O_risk_3,"[""O_trader_3""]",2662,214,5.324,1.284,0.0,1.7,13.172,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.608,trading
O_risk_4,"[""O_trader_4""]",2650,222,5.3,1.332,0.0,1.7,12.992,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.632,trading
O_risk_5,"[""O_trader_5""]",2638,253,5.276,1.518,0.0,1.7,12.777999999999999,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.794,trading
O_risk_6,"[""O_trader_6""]",2613,289,5.226,1.734,0.0,1.7,12.3,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.96,trading
O_risk_7,"[""O_trader_7""]",2645,268,5.29,1.608,0.0,1.7,12.766,llm,risk,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""risk""}",6.898,trading
O_manager,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7"", ""O_trader_0"", ""O_trader_1"", ""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7""]",6309,231,12.618,1.3860000000000001,0.0,2.4,19.942,llm,manager,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""manager""}",14.004000000000001,trading
O_planner,[],2400,251,4.8,1.506,0.0,1.8,0.0,llm,planner,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""planner""}",6.306,software_dev
O_coder_0,"[""O_planner""]",3000,219,6.0,1.314,0.0,1.2,6.306,llm,coder,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""coder""}",7.314,software_dev
O_coder_1,"[""O_planner""]",3060,225,6.12,1.35,0.0,1.2,6.306,llm,coder,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""coder""}",7.470000000000001,software_dev
O_coder_2,"[""O_planner""]",3156,273,6.312,1.6380000000000001,0.0,1.2,6.306,llm,coder,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""coder""}",7.95,software_dev
O_coder_3,"[""O_planner""]",3007,275,6.014,1.6500000000000001,0.0,1.2,6.306,llm,coder,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""coder""}",7.664000000000001,software_dev
O_tester_0,"[""O_coder_0""]",2619,247,5.238,1.482,0.0,1.0,13.620000000000001,llm,tester,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""tester""}",6.720000000000001,software_dev
O_tester_1,"[""O_coder_1""]",2625,249,5.25,1.494,0.0,1.0,13.776,llm,tester,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""tester""}",6.744,software_dev
O_tester_2,"[""O_coder_2""]",2673,189,5.346,1.1340000000000001,0.0,1.0,14.256,llm,tester,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""tester""}",6.48,software_dev
O_tester_3,"[""O_coder_3""]",2675,268,5.3500000000000005,1.608,0.0,1.0,13.97,llm,tester,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""tester""}",6.958,software_dev
O_debugger_0,"[""O_coder_0"", ""O_tester_0""]",2066,210,4.132,1.26,0.0,1.5,20.340000000000003,llm,debugger,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debugger""}",5.3919999999999995,software_dev
O_debugger_1,"[""O_coder_1"", ""O_tester_1""]",2074,249,4.148,1.494,0.0,1.5,20.52,llm,debugger,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debugger""}",5.6419999999999995,software_dev
O_debugger_2,"[""O_coder_2"", ""O_tester_2""]",2062,286,4.124,1.716,0.0,1.5,20.736,llm,debugger,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debugger""}",5.84,software_dev
O_debugger_3,"[""O_coder_3"", ""O_tester_3""]",2143,283,4.2860000000000005,1.698,0.0,1.5,20.928,llm,debugger,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""debugger""}",5.984,software_dev
O_reviewer,"[""O_debugger_0"", ""O_debugger_1"", ""O_debugger_2"", ""O_debugger_3""]",3428,242,6.856,1.452,0.0,2.2,26.912,llm,reviewer,"{""phase_profile"": ""prefill_heavy"", ""source_role"": ""reviewer""}",8.308,software_dev
